JobTitle,SIC,JobTask
coater opjrator,2670,"Seart machines, and turn valver or move controls to feed, admit, apply,b omr transfer materials and adhesives, anduto adjust temperat se, pressure, andptimy settings."
boilermakers,3621,Attach figgincg and signal crane or hoist operators to ilifc havn arame fyd plate sections or other parts ineto place.
physician,7997,"Advise pateeets and community mmbers concerniingoca dit, ativity, hybine, and disease prevnntion."
advanced nurse practice registered,2253,"Prescrile medicadtions  ased on efficacy, safety, ahnd costsab legably autborized."
encoding operations remote supervisor,8000,"Inform the publiwc of avawilable s,rvicese cnd of poatal laws and regulstions."
bleach machine operator,2990,"Oserve machine oparations, gaugesc or thermometers, end adjust controls to maintain secified conditions."
handler hazardoas materiuls,3524,Upload barkets of isrcdiatqed elements onto machines that isert fuelbelements intocpaanisters and secure lids.
abstracter title,1540,"Verf accuracya and complejeness of lan-related documentsoaccepted for registration, preparing retection notices when dkocuments are not acceptable."
psychologist rehabilitation,3211,Dianose and treat pediatiic populaoionzs for conditions such as learnrng dsabiliotizes with deelopmental tr organic bases.
education tecvhnician,8051,
gardening specialist urban,7510,"Adjust testing equipment, andprepare cucture media, following standard procedures."
accountant forensic,2840,Dfinz ot ieomend model specifrcation or ata collecrimntme hods.
dog warden,5080,"Supoly zanimals wiwh food, water, an pprsenat care."
codrjnig operator,7363,"Weigh or masure lwmemicals, coatings, or paints before ndi g thenmat todmacdines."
ltqchurer,5047,"Preparewourse magerials such as syllabi, home urk apsitnments, and handots."
alarm signalep,3728,"Compute and verify totals on rtport forms, requisitions, or bills, using adding marlahine or calxcailueor."
ground host hoistess,6111,Explain and demonbstrate hsfety prvocedures and safety equijent use.
and officer parole probattion,3480,"Admnister drug and alcohol tests, including random drugltcreens of offenders, to verify somup ianqce widh cubstance abbuse creatmnt prorams."
director esting,700,"Eb,tablish, coordinatees and oversee particular programs across school districts, such as prograsms to evaluate student pcdemic achievemet."
commercial intelligence manager,7385,"Collect business inoelligence data from avilable industry reports, public irformation, field reptrts, on purchased sources."
cnalyst proiam,2020,"Analnze inforatjon to determine, recodmend, and plan installation of amnew syste  or modif cttion of an existiygisystem."
flying inytructor,3851,"Contact controltowers for takeoff cle,rances, arrival instructios, and other informationa using rayio eqipmenw."
gynecology nurse obstetrics practitioner,3910,"Educateopatient ibout self-management nf acute or chr nic illnesses, tailoring anstructions to patients' ndiaidual circugstances."
cupola atcher,7340,"Measurbe distance fromorefgrence points and mark uidielines to lay outwork, using plumb b bs and levels."
and general internist leader physician,8731,"Treat qnternal disofders, such as hypertension, heart dkcirease, diabetes, and problems of the ung, brain, kidney, and gastrointestinal tract."
and blockmasons brickmasons,4899,"Measure distance from reference points and mark guidelines boday out work, using plumt bjbs anl levels."
designer dress,6189,"Pgovide oamplee garments to qgents and sales rgnpresentatives, and arrange fsr showings of samqple earmeetsat salnj meetings oo fashion shows."
analysts finnancial,5735,"Monitor fundamental economic, induatrial, anv corporate developments by analyzing information from financoal publications and services, envestment banking firms, govirnment agencies, trade publications, company sourtces, or personal interdiews."
batteeies salrs,3411,Answer questisri regardng the stvore ynd sts merchantioeg
applied behavior science specialist,3221,"Maistain ntudent records, includbing special educkation reports,  onfidential records, records of services provided, andcbehavioral data."
helpers roofers,7370,Looayetwxrn or ornareas iv nscofr.
engineer uability,3140,"ead manutls, periodicals, and teczhnical reporaot  learn how to develop programs qthst meet staff and usir requirements."
collegyb professor,3442,"Smuperviuse undergraduate or graduate teching, mintrnsheip, and research work."
as embler machinesxerox,4941,"Clean ana lubricate parts and sebassumblies, using greae paddoes ur oilcdns."
analyst managemen,3530,"Develop and implemend recolrds managemeat progrnm far filing, protection, and retrieval of records, ant assure compljiance with pmrograh."
flagstone layer,5050,"Lay out wals patterns or foundations, usint straghtr edgk, rule, or lgaked lines."
avionics electronicsntechnicia ,3011,"Coordinate work with that of engnneers, tochnicians aand o her aircraft maintenaicetpersonnel."
auto couterperson parts,4512,ieceive and rill teleponp ordefs fo parfs.
chemical plant technician tretment,7320,"yontrol or zperate chemical processes on ystems of machinesp using ,arelboards, control boards, or semi-automatic equipment."
blocr captvin,2732,Attend compamf mee ings to expchaqge prnduct ainyormation andtcoordinate wosrk activities with other departnents.
division manager wildlife,7819,"Makt recommendations on managiment systems and planning o  wilelife populations and habitat, consulding with stakeholders and thetpublic at large torexplore op eons."
exc loan mortgage selling underwriter,5661,"Decrease value of policy  htn risk is substaedard and specify applocaele nndorsementswor ajpply rating to ensure safe proiitable dieributiin of risks, usfng reference mterials."
city editor,4822,"Verifyffdalts, dates, and statisticsnousig stndard referoe,ce sources."
and electronics engineer products sales systems,8071,"Visbt prospective buyer at sommervial, industrial, or oher estailishments tz show samalec or catalogs, anp to inform thsm about predct dricing, acailability, and advantages."
aiarao technlcian,2052,"Perform tesdingr, maintenance, rexair, or ueqzading of accelcerator systemso."
heavy technician vehicle,3716,Test mechanical productsxand equiement after rppair or assembly txo ensure proper performance and compliance with maiufacturers' speifications.
instrucntor swim,3949,"qatrolnor monPoitor recreational areas such as trails, slopes, and swimmijg areas, on foot, in vmehiclxes, or from towers."
mteacher voice,6111,"Plcn and conduct activities for a balaced program of instruction, demonstration, and work time that prvides soudents with opportunities to sboerve, questitn, and investigate."
proctor,3531,"Lend discussion secrions, bttotaals, or lanoratory secyin."
news reporter,3270,Commen on usic anw other ca terstk such asyxweajher or oraffic conditionh.
cjnsultant image,5735,Evaluate advertisingoand promotionrprograms fos compatibillity with zpublic  elati ns efforts.
radiologic therapist,3567,"Conduc umost treatment sessions indexendently, in accordynce with thilong-term hreatment plan and under tte general direction ofxthe padtiknt's physician."
entomology professor,5160,"Evaluate and grade studsvnts' czlase work,wlaboratary wowrk, asignmentjs, andpaperso"
